,News,Category
18593,"Janata Parivar: What's the point of returning?.The new party could grab eyeballs by mounting a vigorous opposition to the  BJP in Parliament, but outside they are likely to struggle.",politics
2402,How Manish Pandey changed his stars.It takes a ton to shake off a ton.,humour
773,"What went behind Sheena Bora's murder.[Book extract] Once satisfied with the arrangement, Indrani Mukerjea lit a match and threw it on the body of her dead daughter.",Arts
18419,"Muslims need to reclaim Islam from all interpreters, not only bad ones.Islam and democracy are compatible, as long as religion remains a matter of faith and withdraws from matters of governance.",politics
575,Let Sonam choose whose name it is anyway.You are not a feminist if you cannot accept other people’s choices.,Arts
3503,"How two youngsters gave Kashmir its own Facebook to beat internet curfew.Because while the rest of the country basks in PM Modi's Digital India dreams, the Valley is in darkness.",tech
3232,"This National Science Day, what India can do to stop being an embarrassment.Quality of education and research needs a big boost in institutions outside the so-called elite centres like IITs.",tech
3283,"Why are people saying 'net neutrality is dead' in United States?.The US FCC, on December 14, approved the rescinding of the net neutrality guidelines it had imposed under the Barack Obama administration in 2015.",tech
19019,Ahmedabad calling Beijing.This is perhaps the first time that a foreign head of state has been received by an Indian prime minister outside Delhi.,politics
18971,"Rajdeep Sardesai and the Mobile Vulgus.There is something about being part of a crowd. It's like losing your own self. If one among the crowd goes into a trance, others join the dance.",politics
4861,"2015 World Cup squad: Dhoni plays chief selector.Yuvraj Singh is out, Ravindra Jadeja for some reason is in. Dhoni may have quit Test cricket, but he is leaving an imprint on the team.",sports
2228,"I really hope Indians become more patriotic in 2017.Loving your country is all about entertainment, entertainment, entertainment!",humour
18200,Why I am looking forward to booking my round-trip ticket to the moon in the 2030s.What has changed since the days of the Apollo moon landings is that the cost of building technologies has dropped exponentially.,politics
18356,"Sakshi Maharaj is not a lone lunatic, after all Sangh and Modi both agree with him.Just as there are no good Taliban, there is no such thing as a moderate Hindutva.",politics
1299,Government mustn't make GST a playground for interest groups pushing 'quick-fixes'.The perplexed GST council has become extremely vulnerable to the India's notorious tax lobbying.,business
3119,Why Asus Zenfone 5Z's price tag makes it a winner.Asus' new flagship is more than just an iPhone X clone.,tech
3268,"Why are hundreds of bats dropping dead in Australia?.Unless we take climate change seriously, this might be the least of our worries.",tech
1287,What India could have learned from France's experience of demonetisation in 1840s.We have demonised the money of the poor - cash - while glorifying that of the rich - card and Paytm.,business
300,"Mughal-e-Azam to Manikarnika: How Bollywood is forever in love with history, kings and queens.With a 'historical', you get magnificent characters, spectacular war scenes, superb sets and unforgettable songs. But the sword has an edge: the risk of inaccuracies, and protests!",Arts
604,Avengers: Infinity War is the darkest Marvel film. And that's alright.[Spoilers alert] Thanos is here to stay.,Arts
958,Why Albert Camus’ 'The Plague' still resonates today.The novel holds lessons that are important for our time.,Arts
3709,"India's love for mediocre and cheap gadgets is hurting us.Blame lies on a mix of government policy, market dynamics and strange sales games.",tech
1274,India's economic crisis will divide us further in 2018.The socio-economic set-up is on the verge of a new split between the financially secure and economically insecure.,business
3560,How Trump’s arrival marks beginning of the end for net neutrality.Elevation of  Ajit Pai as Federal Communications Commission chief is bad news.,tech
2024,"19 sporting events Indians would dominate if they gave out medals for them.With rising cases in chain, wallet, laptop, mobiles snatching, the sporty-spirits engaged in such activities most definitely have world class training.",humour
18224,Why Nepal failed to draft a Constitution yet again.Even more worrying is the plight of Nepalese who are leaving the country in droves every day in the hope of finding employment.,politics
2795,"Pakistan terror boat: How biryani is always a threat to national security.When DIG Coast Guard BK Loshali ordered the ""terror boat"" to be blown up, the reason he gave wasn't so much to do with security. His peeve was biryani.",humour
4045,"India vs South Africa Test: What Virat Kohli must answer.In the era of fake news, the fakest news may be that India is the best Test team in the world.",sports
3040,"Brief Answers to the Big Questions: When Stephen Hawking asserted there's no God.What is the purpose of the universe? Hawking rules out God, but doesn’t offer a substitute except to call it “nature”.",tech
1470,"India’s digital infrastructure isn't ready to handle a cashless society.User adoption to digital payments must be achieved through better service and experience delivery, and not through ads and lucky draws.",business
1210,"Why ICICI Bank should look within itself for a clean-up.The private bank may seek to junk charges of conflict of interest against Chanda Kochhar, but good corporate governance demands a deeper internal probe.",business
4919,"What cricket says about modern India.We have hunger and energy, but no patience, not much endurance, and very little character.",sports
2343,[Memes] Lalu's fair and golden moment with Baba Ramdev.RJD chief is Patanjali's new poster boy.,humour
2324,How Delhi-Varanasi bullet train will change my life.So what if Banaras remains what it was when it elected Modi as its parliamentary representative in 2014?,humour
2212,"Dear God, have you heard the post-truth? We’re killing in your name.It’s really uncool these days to even think about peace or propagate pacifism.",humour
4597,"How India dumped its cricket hero, Dhoni.The last nail in the coffin has to be Suresh Raina who wasn't willing to play second fiddle to the ODI captain anymore.",sports
616,The 'demise' of Kashmiri.[Book excerpt] Kalhana's Rājataraṅgiṇī — the oldest record of Kashmir's history — shows how the cosmopolitan became the vernacular.,Arts
2181,Not a fan of Justin Bieber? At least you can have a good laugh at his expense.Indian Twitter has been going crazy with Bieber jokes.,humour
2798,Censor Board is itself the worst abuse today. Video shows how.A short film by Mayank Tewari and Raja Sen.,humour
757,Why this documentary on Kolkata showcasing Naxalism has offended the CBFC.The censor board has asked for several cuts in award-winning filmmaker Anirban Datta’s movie.,Arts
146,"Game of Drones? How bad writing in 'Game of Thrones' has turned into sexist cliché.Without proper source material, the series has become a crude impersonation of what it was in the first four seasons.",Arts
2450,Reeling under #Intolerance: How Aamir Khan split Bollywood apart.The superstar has come under fire from some of his fellow actors over his recent remarks.,humour
18576,"Dear Home Minister, cabs don't rape, and cops can stop crime.Instead of calling for banning certain cab services, Rajnath Singh should focus on getting more boots on our streets.",politics
1074,"Will Nirmala Sitharaman’s last-mile gambit pull the economy out of slump?.The ‘last-mile’ window, on the face of it, is likely to help provide the necessary funding for healthy housing projects. That won’t be enough.",business
18791,What is Modi's plan for reviving the economy?.India needs a new overarching economic policy that lacks any hesitation and revisits. The policy also needs to be forward looking and bereft of clutter and mindless populism.,politics
18570,What it means to be Malala today.Full text of Pakistani education activist's Nobel Peace Prize acceptance speech.,politics
18268,"MN Reddi: Twitter-savvy top cop in a tech-savvy city.The police commissioner has created a citizen army of tweet informants, giving the police the benefit of online crowdsourcing.",politics
3493,How India's broadband players plan to outdo Mukesh Ambani's JioFiber game.Competitors slashing prices is good news for consumers. | More bang for your buck.,tech
3753,"Why Apple wants the new iPod to fail.In the wake of its ambitious 'Music' streaming service, it seems the company does not want an 'iDevice' untethered to the internet.",tech
3927,"MS Dhoni is not just a cricketer. He is a cricketing phenomenon.MS Dhoni has not sacrificed his humility at the altar of adulation. A folk hero now, he is still the world-famous next-door neighbor to many in Ranchi.",sports
2153,[Hilarious] Modi and Netanyahu beach memes are breaking the internet.Friendship ended with Obama. Now Netanyahu is my best friend.,humour
3523,"Jio is not the only reason India has to be thrilled about 5G.With Nokia joining Airtel and BSNL to bring the services closer home, the future looks bright.",tech
18512,"Peshawar attack: Why I cried in the newsroom.Tonight, dear daughter, we will cry together at being woken up.",politics
4472,"Why cleansing BCCI is much like cleaning Ganga.From tenure restrictions to a cooling-off period for officer bearers, legal battles are going to be fought.",sports
1801,"Budget 2015: What India’s industrial policy must include?.India’s strategy to grow its manufacturing sector must be built on the use of more people, rather than less.",business
1183,Four years of Modi govt: A look back at how the PM and his policies fared.The big hits and misses.,business
2499,Inside Sehwag's spotless mind.And beyond.,humour
18320,"Why is Indian Medical Association defending unnecessary surgeries?.Instead of acting against unnecessary surgeries, the medical body has actually asked for gagging surveys that highlight these sordid realities.",politics
3036,Why 2019 could be the year of foldable display phones.Foldable display phones may be here sooner than we might have imagined – and change computing on-the-go for good.,tech
431,"Why Imran Khan could quit acting.The actor is turning his focus towards direction and will begin his behind-the-screen journey begins with the short film, Mission Mars: Keep Walking India.",Arts
513,"Why Michael Jackson, the King of Pop, still stirs our hearts.He urged us to look at the 'man in the mirror and change some of his ways'.",Arts
3875,"The cricket World Cup and the glorious uncertainty of life.The match between England and New Zealand proved to be nothing less than what anyone would want a final to be. But in the end both teams deserve the glory, not one.",sports
1533,Why Tata could split chairman’s post after Cyrus Mistry episode.A division of responsibilities is increasingly seen as a possibility at Tata Sons.,business
18389,Great comedy show unfolds in J&K.Each political party in the state thinks that they have a mandate to govern the state.,politics
2027,Is 'Meri Bahu Adarsh' the new MBA? Why we all should join this course.Which office on earth will not value the qualities of an 'adarsh bahu' in its employees! Universities should offer such courses as public service.,humour
2512,"Pssst... Hindus, I know a way to save our religion.[Satire] Feel free to vent outrage. The more, the merrier.",humour
1700,Indian banking must switch to electronic payment system.Edited book excerpts from 'Rebooting India: Realizing A Billion Aspirations'.,business
813,"Shashi was more than just a talented Kapoor, he shined on his own.The multi-talented artist leaves behind Prithvi Theatre, his labour of love and his gift to performance art in India.",Arts
23,"Good girl meets bad boy in Netflix series 'She'.Until her late teens, acting was not even on Aaditi Pohankar’s radar. But with the Netflix series She, the actor appears to have found what she was looking for.",Arts
1234,"Who is Nirav Modi and how did he pull off Rs 11,360-crore bank fraud?.His last major public appearance was at World Economic Forum 2018, where he was part of the delegation that accompanied Prime Minister Narendra Modi.",business
1884,"Sunny Deol joins BJP: What Sunny Deol can do for the saffron party, no one else can. Here's why.Pehli goli woh chalayega… aur aakhri goli hum: The defence strategy no one dared to implement. Now, it can be followed. Using a dhai kilo ka haath.",humour
4460,"Maria Sharapova's confession shows there are no heroes left in sport.With the intoxicating brew of money, power and fame, personal integrity often takes a back seat.",sports
2060,Ramdev to launch Kimbho to compete with WhatsApp – here are 5 other brilliant app ideas he can launch.Make My Mandir is the one-stop solution to all your Ayodhya woes.,humour
13,"What makes the Bollywood title song eternal.The title song is amongst the many subgenres that exist in the delightful world of Hindi film music, especially till the mid-70s. Though not extinct yet, they are certainly on their way out.",Arts
18812,Why China doesn't trust Modi.Beijing has cautioned India about meddling into its affairs in Vietnam.,politics
2825,"Say cheers to ""two states"" weddings in India's Silicon Valley.As vodka accompanies vada and rasam is served with rum, cultures and languages melt.",humour
2001,"Five tips to look your best on Diwali in the time of pollution.Stick zari kinari on your mask. But please, wear masks.",humour
3894,How cricket brings out the best of Pakistan.Imran Khan's tweet didn't just make me happy. I felt proud of being a Pakistani.,sports
2039,15 Indian signs that will make you sign out of real life.'Beware of vehicle theft. Please use double luck.',humour
4323,"Major dent to India's Olympic medal hopes: Jitu Rai fails to qualify in 50m Pistol final.Shooting a solid 95 to rise to 5th place, he finished with a miserable 88 and failed to qualify.",sports
901,Why Kazuo Ishiguro deserves Nobel Prize in Literature.No other writer has done so much with so little by way of conventional authorial pyrotechnics.,Arts
18458,Why celebrate the youth when we treat the old as dead.It might be in the country's best interests to plan ahead and think of better infrastructure and opportunities for the aged and ageing.,politics
4565,The fading star of Rafael Nadal.What makes the Spanish tennis star's gradual fall particularly hard to watch is how one can also see the emotional breakdown of a player.,sports
75,Mehmood Ali: The man who made people laugh and was often sad at heart.A tribute to the prince of joy and laughter on his 15th death anniversary.,Arts
3583,"Free Jio services till March 31, 2017: Top 20 highlights from Mukesh Ambani's announcement.The RIL chairman also expressed support for PM Modi's demonetisation move.",tech
4444,World T20: The little things that Dhoni does.And the big difference they make.,sports
18583,"Defence deals: Licensing agents won't end corruption.You can't register defence agents. Even if you could, it still wouldn't stop corruption in defence deals.",politics
2607,"After Wankhede, SRK wants to be banned from Eden Gardens.Says he yearns to be a bad boy at home.",humour
18249,"When your life becomes a news tamasha for millions of screens.The surreal-ness of seeing your life hash-tagged by TRP-driven anchors is the stuff you watch with incredulity, then anger, and eventually, amusement.",politics
488,"Coffee and cacophony: Kolkata's College Street secret brewing for ages.Apart from its coffee and cutlet, there is something unique about the employees of the Coffee House.",Arts
784,What Salman Khan's Tiger Zinda Hai can teach you about ISIS threat to India.Absolutely nothing.,Arts
3117,"Google, Facebook reading your emails? Here's how you can stop them.Users can easily prevent marketers and software developers unwanted access to their personal data and emails.",tech
730,Why Padmaavat controversy ended up as a win-win for both Sanjay Leela Bhansali and Karni Sena.It is no coincidence that in the past few years Bollywood films have been made centered around the upswing of hyper-nationalism.,Arts
1329,Indian economy is in shambles. Limited options ahead for government.Economists agree that there is a lack of money and the government is stepping up investment in order to keep up the growth rate.,business
367,How Thugs Of Hindostan will bring down Bollywood's star ecosystem.The multiplex audience doesn't care about star power. All they want is a good story.,Arts
3550,Everything you wanted to know about Mukesh Ambani speaking on Reliance Jio.Reliance Jio has crossed 100-million customers mark in just 170 days.,tech
680,"Why must we label Sridevi - the star - a lonely, unhappy woman?.I never wanted to know about her personal life, her wealth, her addictions, her surgeries. I loved her on screen.",Arts
1993,"Thanksgiving 2018: Why it's not for Indians.Thanksgiving to an American TV series is what Karva Chauth is to an Indian serial — a mechanism to churn out more episodes, more drama.",humour
3589,"Forget Facetime, get video chat on WhatsApp if you haven't already.Indians make up one 160 million of the messaging app's one billion user base.",tech
18170,"India-US ties will remain exceptional, thanks to Obama visit.The two nations will continue to pursue their respective national interests and simultaneously work out convergences wherever they can.",politics
4574,Why are BCCI bosses so scared of Srinivasan?.The country's top cricket body needs to show authority in dealing with a man who has a larger-than-life image.,sports
18397,"Jammu and Kashmir: New year, new start.There are opportunities galore and threats lurking around the corner for the state as 2015 heralds.",politics
3172,Huawei P20 Pro and P20 Lite launched in India: Everything you need to know.The two devices have been announced as Amazon exclusives in the country.,tech
248,"An old woman who sings of hope, and lives like a free bird.An encounter with an abandoned old woman who has found peace in herself and in a building full of outcastes.",Arts
765,'Time is up' for abusive men: Oprah Winfrey's speech at Golden Globes 2018.The former US talk show host has become the first African-American woman to receive the Cecil B DeMille Award.,Arts
929,"Why Varun Dhawan is Bollywood's next big thing.With a Rs 100 crore superhit under his belt, he has emerged as the next big actor after Ranbir Kapoor and Ranveer Singh.",Arts
2146,"First Modi, now Kalam. Venkaiah Naidu, stop with the acronyms.NDA's vice presidential candidate loves his acronyms.",humour
18366,"Madhu Kinnar's victory is no-win for transgender rights.New mayor in Chattisgarh's Raigarh, a Dalit transgender, may have simply befitted from the lack of a sturdy alternative.",politics
2136,[Watch] Trump doesn't care about brown people.Puerto Ricans say American President only bothers about football.,humour
3270,Aadhaar breach: How we compromise our privacy on tech.It's important to take things into our own hands and protect the data that we still control.,tech
561,"Raazi has breathed fresh life into 'women-centric' cinema in Bollywood.Such movies can be mainstream, low-budget, yet successful at the box office.",Arts
3009,Why China's 'social credit system' is a front for Xi Jinping creating the ultimate surveillance state.No amount of good thought can justify a government trying to keep a constant eye on its citizens – be it in public or private space.,tech
1573,RBI has a good alternative to bank finance.Central bank focuses on development of corporate bond and currency markets.,business
1410,"Why Amazon India is the reason behind Flipkart-Snapdeal merger.This would be India's biggest merger - $10 billion (Rs 6,500 crore) - in the e-commerce sector.",business
4476,"Are Indian footballers so bad that European clubs boot them out?.To put it in perspective, players from even Afghanistan play in top foreign leagues.",sports
4623,How ISL Auction 2015 proves football is the new cricket.The crore-plus bids on our domestic stars speak volumes about the marketability of soccer and the success of season one of the tournament.,sports
4324,How much will Virat Kohli squeeze himself for Rohit Sharma?.And how much will this cost Team India in the long run?,sports
1548,"Why our banks are not being honest about ATM fraud.What else can we expect when in India, they have no obligation to report data breaches or hacking incidents.",business
2749,"Give Rahul Gandhi a mauka. He may be cheering for Team India in World Cup.As the Congress scion defeats speculation and fails to return by March 20, here's just another theory on his sabbatical: either Pacific islands, or Australia, or both, or neither.",humour
1389,"GST will have a detrimental impact on watching films in cinemas, writes PVR's Ajay Bijli.This was the only elixir that could propel the growth of the entertainment industry to global levels.",business
3576,"Legion hacking group are no Anonymous - they look like cyber criminals.Hackers who sneaked into Rahul Gandhi, Barkha Dutt's Twitter accounts possibly make money via their skills.",tech
3050,E-commerce wars: How to find the best deals on Amazon and Flipkart.These tools will help you snap up the best offers available during e-commerce sales.,tech
194,"Who are 96 Kuli Maratha Kshatriyas, also called Maratha Rajputs by some?.An insight into the genealogy of the Maratha Kshatriyas and warriors of Chattrapati Shivaji, whose bravery changed Indian history by ending Mughal dominance, and keeping the British at bay for many years.",Arts
2068,Why 180-crore film on RSS origins by Baahubali writer will blow your brains out.The problem with the Indian right wing is that they neither know how to pace things nor do they understand subtlety.,humour
4064,"Why Sushil Kumar’s farcical gold at the nationals does the champion disservice.One wonders how the two-time Olympic medallist felt as opponents came, bowed and walked away.",sports
4069,When we learnt to laugh with Ashish Nehra and not at him.Retirement makes angels of Indian cricketers and sometimes we give ourselves a halo too.,sports
2012,World Food Day: Bizarre ideas that gave us food for thought.Some theories need a closer look. These are few such,humour
3825,"Android tablet: Nokia trying to stay relevant until 2016?.The N1 may not succeed but by creating a high-end tablet, Nokia is trying to keep the buzz alive.",tech
4459,ICC World T20: Dhoni doesn't care for a 'favourite' Team India.One over can change the course of a match and one dropped catch can make a huge difference.,sports
18103,Will the burning of Jordananian pilot by the ISIS cause a backlash among Muslims?.Islam forbids burning or cremating a Muslim because it is against Quranic injunctions.,politics
2760,Revealed: Eight memes on where Putin was.Our resident wise guy gives you the real reasons Russian president went absconding.,humour
3705,Why only the camera can help Microsoft make a comeback.Lumia 950XL is a reminder that the company's phones still have the potential to be popular in the market.,tech
4072,"To maintain Indian cricket's clean image, BCCI needs to engage with national anti-doping body.The cricket body must be more transparent about doping tests on players.",sports
4888,Bye bye time for Srini and CSK. Is Rajasthan Royals next?.IPL needs to get cleaned up. Let the after parties go on but please ensure the games are not fixed.,sports
4525,"Cricket fans stumped over Mitchell Johnson's retirement.His absence will not only be missed by the Australian team, but all fans.",sports
2408,What mother-of-Indian-cricket told MS Dhoni.Shoots some wicked home truths.,humour
2550,When Modi meets Mark Zuckerberg: Five hilarious memes to share.[Exclusive] Behind the scenes with the Prime Minister at the Facebook Headquarters.,humour
4334,How Rio lit up for Olympics opening ceremony.The fortnight long party has finally begun.,sports
18776,"Increasing tax on crude oil and diesel is good economics.A five per cent tax will translate into revenues of over Rs 3,000 crore a month or Rs 13,500 crore in the remaining months of the current fiscal year, if the duty is imposed immediately.",politics
701,"How Zulfikar Ali Bhutto’s speech at the UN changed the history of Pakistan.[Book extract] The only way to live in lasting peace with India was to establish a country smaller in area, but nevertheless capable of having a relationship, a modus vivendi.",Arts
3354,"After ISRO, how private sector players in India are shooting for the moon.Team Indus, a space start-up in Bengaluru, is in the final legs of a mission to the moon, to be executed in a record time.",tech
4032,"After win in South Africa, captain Virat Kohli has the last laugh.The Indian team’s bouncing back has a lot to do with one man’s leadership skills.",sports
1008,"Kamal Haasan's outrage over shifting of Sivaji Ganesan statue from Marina is uncalled for.Without belittling the iconic actor's contribution to Tamil cinema, Chennai and Tamil Nadu have far more pressing issues to deal with.",Arts
1242,"How Arun Jaitley has punished taxpayers through his five Budgets.Middle class taxpayers got a rough deal from Modi government, which pampered tax thieves through repeated amnesties.",business
4873,"Even Sachin Tendulkar's book can't save the sports book publishing industry.Websites like Amazon, Flipkart and SnapDeal are crippling the sports publishing business.",sports
1052,"Budget 2020: More bangs, less bucks.India Today Group Editor-in-Chief talks about how a clutch of promising initiatives fall short of being a credible roadmap to economic recovery, in the February 17, 2020 edition of the India Today Magazine.",business
2018,"Emraan Hashmi’s production company will have an anti-sexual harassment clause. What’s so woke about that?.Umm... of course, it should. Why is that news?",humour
3482,Best smartphone under 10k in the market right now.Lenovo K6 Power is a top contender.,tech
191,"From pinched bottoms to bruised souls: When will Indian society let even one woman say, no, not MeToo?.Uncles, doctors, professors, strangers — we've all had predators violating us time and again. I have, too. And we've often failed to retaliate the right way. I have, too. This is my story.",Arts
1604,"Decode GST now or regret it later.If implemented in its current form, India's greatest tax reform may open the door to more problems than it would resolve.",business
1663,Rail Budget 2016: Suresh Prabhu puts Indian Railways back on track.This article has been co-authored by Suryakiran Tiwari and Subhash Chandra.,business
811,"Goodbye Shashi Kapoor, you changed Indian cinema for us.The actor struck a balance between Indian mainstream's relish for the larger than life with finer aesthetics of world cinema.",Arts
2942,Sachin Tendulkar autobiography: Raining chappals on Chappell.It’s below the belt when cricketers take a snide turn at the fall guy in their autobiography. Even if it is the (Oh) God of Cricket.,humour
1040,"Exit Strategy: How to make it work.India Today Editor-in-Chief talks about how to to get the economy back on track while ensuring there is no resurgence of Covid-19, in the April 27, 2020 edition of the India Today Magazine.",business
451,"Where there is guilt, there is Ghoul: Why you should watch the new Radhika Apte-starrer Netflix miniseries.It serves as a smack across your face and shows you a mirror.",Arts
1412,"BSNL versus Reliance Jio, which deal is best for you?.The state-owned  telecom firm is the latest to join the freebie bandwagon.",business
1084,Union Budget 2019 is not populist but can increase the pace of development in the country.Finance Minister Nirmala Sitharaman opted for economic development as opposed to people-pleasing for the 2019-2020 budget and it makes sense.,business
4880,Ranji Trophy: Why J&K's win against Mumbai is so special.It is impressive that despite torrential floods in the Valley impeding their training the cricket team overcame the odds.,sports
1190,"Petrol, diesel prices hiked again — the curious case of oil pricing in India.Whimsical policies of taxation have continued in the oil sector.",business
3984,IPL Final: Why it's beyond Rashid Khan vs CSK.It's Dhoni vs Williamson and Moody vs Fleming.,sports
2820,"Yo BJP, take it easy. It's just Delhi.It's not worth the stress to worry over Delhi when you have India to rule for the next four-plus years.",humour
18861,Delhi elections: Muffler season is back.Former Delhi CM Arvind Kejriwal is warming up for action as polls to the Delhi Assembly loom.,politics
18578,"Freedom from Britain was not enough, power had to be yielded from royalty too.Mohandas Gandhi, the Raja of Aundh, and Maurice Frydman helped to draft the November Declaration, which handed over rule of the state of Aundh from the Raja to the residents.",politics
4484,"DDCA badly wants to kill cricket.If Feroz Shah Kotla loses the chance to host World T20 and IPL matches, you know who's to be blamed.",sports
621,Ma Anand Sheela on how Bhagwan Rajneesh turned sannyasins into prostitutes.[Book extract] Bhagwan had the reputation of advocating frequent changes of sexual partners.,Arts
1807,"Train to Jamshedpur: The story of Tata, India's global giant.A BBC documentary in which Dr Zareer Masani tells the story of this 150-year-old Indian giant with a reputation for ethical capitalism.",business
4471,Why Leicester City is potentially the greatest modern day sporting tale.So will they/won't they win the English Premier League?,sports
3593,"If you have iPhone 7 or Pixel, you don't need DSLR.The camera in future will be bought only by professionals or those who shoot wildlife, sports and birds.",tech
1630,How SEBI is killing financial inclusion.Regulators are meant to sift through the bad apples and throw them out. Not destroy the industry.,business
4649,"Amazing story of first Indian to be drafted by NBA.Satnam Singh, a 7'2"" player from a village in Punjab, will now be playing for Dallas Mavericks.",sports
2115,"Why I decided to enrol at Sangh School of Sexism.Vikas is missing since 2014, but there's love to be found in a flash mob.",humour
215,"'Made In Heaven' Review: Zoya Akhtar paints a life-like canvas in the Arjun Mathur, Sobhita Dhulipala, Jim Sarbh, Kalki Koechlin starrer.Nobody is perfect. And neither are their lives. Life may seem greener on the other side, but Zoya allows you a peek, and it is bloody dark.",Arts
2121,"BHU's 'Har Har Mahadev' app, which blocks porn and plays bhajan, is easily best of India 2017.It's made for all Indians.",humour
1430,"Why delayed GST is as disruptive for economy as demonetisation.If the central government is credited for bringing this legislation, then it has to be criticised for failure to meet deadlines.",business
1931,"Why we love and hate Vijay Mallya so much.Many absconders owe more than him. But Vijay Mallya was particularly admired, then besieged because of the ultra-uber lifestyle he taught us all to aspire to.",humour
4186,What will get Kohli through the dark night?.It is time to reach out to Indian cricket’s Master Yoda.,sports
2250,"When the law turns out to be a sexist gold-digger.If you are a woman, the good fortune of being married can double your chances of saving your ill-gotten gold. How cool is that!",humour
3575,"OnePlus 3T is perfect, but not when Nexus 6P is being sold on a huge discount.It's a tough choice.",tech
4763,"Salman Khan does a dabangg on mauka video. From cricket to....The cricket fever is at its peak, guess why the star makes an appearance in the new Star Sports ad.",sports
4775,"World Cup 2015: Australia will have to work very hard to beat Team India.The mind games have already begun. It all depends on who can play fearless cricket, as both captains - MS Dhoni and Michael Clarke - will go for the jugular.",sports
18556,"Bangladesh war: This Vijay Diwas, let's hail the US Air Force.In May 1971, Indian requested the US to provide four C-130 transport aircraft and crews to help ferry the Bengali refugees, today their contribution needs to be acknowledged.",politics
2564,Why politicians must speak more about sex and Sunny Leone.Instant stardom awaits them if they do.,humour
1165,"Why exports are at odds with PM Modi's global outreach.Going by the high-octane global missions of Narendra Modi, India's exports recession remains an enigma.",business
3580,"Asking Indians to go cashless by forcing tech on them is dangerous.In terms of individual use of information technology, India's rank is 120 out of 139 countries.",tech
143,"Cannes Bollywood actually make films? Just what are our stars really doing at Cannes?.Although Cannes is the greatest film festival on earth, it doesn't look like most of our Bollywood stars there are thinking of films at all. Instead, the focus seems to be on their clothes, their looks and their challengers.",Arts
580,"Two books and two Delhis — one intimate, another intimidating.Zarreen Khan's Koi Good News? and Sanjeev Sanyal's Life Over Two Beers capture a diverse capital.",Arts
2401,"What Netaji has in common with Hitler and Elvis.Fame can grant immortality, and in certain cases, deny a celebrity the very right to die.",humour
3208,Indian judiciary needs to keep a tight check on big pharmas.The Supreme Court recognised the right of patients to access affordable medicines over profits of big pharma companies through 'evergreening' of patents.,tech
3207,5 times Elliot Alderson exposed the flaws in India's system.The French security researcher has single-handedly managed to embarrass not just UIDAI but also Congress and BJP ahead of the 2019 general elections.,tech
18582,"Making Gita a Rashtriya Granth may confuse the world.From being Gandhi's moral basis for non-violence to capturing essential mystical truths for Aurobindo, the text means different things to different people.",politics
1163,"Beautiful headline, ugly reality: 'India surpasses France's GDP' is a propaganda dream and a real nightmare.The NDA government will crow about India having overtaken France in GDP terms. But that cannot veil hard facts about our economic reality.",business
2110,Twitter users have found 23 things that are cooler than sex.Sex is cool and all but have you linked your Aadhaar card to your bank account yet?,humour
1010,"Manmohan Singh only spoke half-truths on demonetisation in Parliament.While the former PM's speech made for 'good sensationalism', it raises more questions than answers on his own government's efforts to curb corruption.",business
3535,This iPhone you can buy for 20k - but you'll regret it.The SE model is obsolete technology and still not worth the price.,tech
4593,Five ways Ronda Rousey can inspire men and women.The UFC 190 winner's daring act of proposing a bout to Floyd Mayweather has generated a lot of interest among sports fans.,sports
3834,iPhone 6 is still the best phone a kidney can buy.Apple is brilliant at nailing the implementation of new features and that is what separates it from the rest.,tech
3352,"6 reasons why you shouldn't buy Xiaomi's Mi Mix 2.Despite its sleek look and powerful hardware, the phone is far from being a perfect package.",tech
208,"Will Aamir Khan rock or ruin the Tom Hanks starrer ‘Forrest Gump’?.Our question for the Indian remake of the American classic though is, seriously, but why?",Arts
312,"5 shades of jingoism: From 'Raazi' to 'Simmba', how Bollywood played with your mind in 2018.There’s a thin line between nationalism and jingoism, and in 2018, Bollywood leaned precariously to the other side",Arts
2193,"Happiness index and Yogi Adityanath’s breakfast - India is a tomato country.If what we eat is how we feel, Indians can't be anything but unhappy.",humour
4864,From Pataudi to Dhoni: What it takes to be an Indian cricket captain.Indian captains have always been tormented and finally chased out. Public scrutiny has driven cricketers to the verge of breakdowns.,sports
2665,[Satire] Chris Gayle announces retirement to join Retired Cricket League.What next? Watch out Tendulkar and Warne.,humour
18140,"Why Sonia Gandhi decided to stay back in India over Italy.[Book extract] For Sonia, everything around her was new and strange: the colours, the tastes, the people.",politics
18186,"Obama made all the right moves in India.Bollywood and a professed affection for Modi's sense of style and his rise from humble origins will also play big in Indian diaspora enclaves, as it is a community no American politician can ignore.",politics
4898,"How Rahul Dravid became Mr Unpopular.We know from Sachin's book coaches Wright and Chappell did not give Dravid full backing, and tried to undermine his leadership.",sports
18959,"Delhi, stop attacking the African community.The recent attack on three African students in the Delhi Metro has again brought to the fore the racism latent in Indian society.",politics
938,Thupparivaalan makes a ridiculous Sherlock Holmes.The acting is worse that the writing.,Arts
2008,"#23YODilwaleDulhaniaLeJayenge: How Kuljeet and Preeti were wronged by Simran and Raj.Kuljeet and Preeti clearly had the rawest deal in this sarson-ke-khet gazing, pigeon-feeding, mandolin-strumming love story.",humour
190,"Meena Kumari – the lonely moon.47 years to the day she bid the world adieu, Meena Kumari is remembered for her unparalleled portrayals of the tragic woman on-screen and its echo in her real life, a story that has immortalised her in art.",Arts
